nohup: ignoring input
[PHB] Step 19750, mean energy: nan
[PHB] Step 19800, mean energy: nan
[PHB] Step 19850, mean energy: nan
[PHB] Step 19900, mean energy: nan
[PHB] Step 19950, mean energy: nan
[PHB] Step 20000, mean energy: nan
[PHB] Step 20050, mean energy: nan
[PHB] Step 20100, mean energy: nan
[PHB] Step 20150, mean energy: nan
[PHB] Step 20200, mean energy: nan
[PHB] Step 20250, mean energy: nan
[PHB] Step 20300, mean energy: nan
[PHB] Step 20350, mean energy: nan
[PHB] Step 20400, mean energy: nan
[PHB] Step 20450, mean energy: nan
[PHB] Step 20500, mean energy: nan
[PHB] Step 20550, mean energy: nan
[PHB] Step 20600, mean energy: nan
[PHB] Step 20650, mean energy: nan
[PHB] Step 20700, mean energy: nan
[PHB] Step 20750, mean energy: nan
[PHB] Step 20800, mean energy: nan
[PHB] Step 20850, mean energy: nan
[PHB] Step 20900, mean energy: nan
[PHB] Step 20950, mean energy: nan
[PHB] Step 21000, mean energy: nan
[PHB] Step 21050, mean energy: nan
[PHB] Step 21100, mean energy: nan
[PHB] Step 21150, mean energy: nan
[PHB] Step 21200, mean energy: nan
[PHB] Step 21250, mean energy: nan
[PHB] Step 21300, mean energy: nan
[PHB] Step 21350, mean energy: nan
[PHB] Step 21400, mean energy: nan
[PHB] Step 21450, mean energy: nan
[PHB] Step 21500, mean energy: nan
[PHB] Step 21550, mean energy: nan
[PHB] Step 21600, mean energy: nan
[PHB] Step 21650, mean energy: nan
[PHB] Step 21700, mean energy: nan
[PHB] Step 21750, mean energy: nan
[PHB] Step 21800, mean energy: nan
[PHB] Step 21850, mean energy: nan
[PHB] Step 21900, mean energy: nan
[PHB] Step 21950, mean energy: nan
[PHB] Step 22000, mean energy: nan
[PHB] Step 22050, mean energy: nan
[PHB] Step 22100, mean energy: nan
[PHB] Step 22150, mean energy: nan
[PHB] Step 22200, mean energy: nan
[PHB] Step 22250, mean energy: nan
[PHB] Step 22300, mean energy: nan
[PHB] Step 22350, mean energy: nan
[PHB] Step 22400, mean energy: nan
[PHB] Step 22450, mean energy: nan
[PHB] Step 22500, mean energy: nan
[PHB] Step 22550, mean energy: nan
[PHB] Step 22600, mean energy: nan
[PHB] Step 22650, mean energy: nan
[PHB] Step 22700, mean energy: nan
[PHB] Step 22750, mean energy: nan
[PHB] Step 22800, mean energy: nan
[PHB] Step 22850, mean energy: nan
[PHB] Step 22900, mean energy: nan
[PHB] Step 22950, mean energy: nan
[PHB] Step 23000, mean energy: nan
[PHB] Step 23050, mean energy: nan
[PHB] Step 23100, mean energy: nan
[PHB] Step 23150, mean energy: nan
[PHB] Step 23200, mean energy: nan
[PHB] Step 23250, mean energy: nan
[PHB] Step 23300, mean energy: nan
[PHB] Step 23350, mean energy: nan
[PHB] Step 23400, mean energy: nan
[PHB] Step 23450, mean energy: nan
[PHB] Step 23500, mean energy: nan
[PHB] Step 23550, mean energy: nan
[PHB] Step 23600, mean energy: nan
[PHB] Step 23650, mean energy: nan
[PHB] Step 23700, mean energy: nan
[PHB] Step 23750, mean energy: nan
[PHB] Step 23800, mean energy: nan
[PHB] Step 23850, mean energy: nan
[PHB] Step 23900, mean energy: nan
[PHB] Step 23950, mean energy: nan
[PHB] Step 24000, mean energy: nan
[PHB] Step 24050, mean energy: nan
[PHB] Step 24100, mean energy: nan
[PHB] Step 24150, mean energy: nan
[PHB] Step 24200, mean energy: nan
[PHB] Step 24250, mean energy: nan
[PHB] Step 24300, mean energy: nan
[PHB] Step 24350, mean energy: nan
[PHB] Step 24400, mean energy: nan
[PHB] Step 24450, mean energy: nan
[PHB] Step 24500, mean energy: nan
[PHB] Step 24550, mean energy: nan
[PHB] Step 24600, mean energy: nan
[PHB] Step 24650, mean energy: nan
[PHB] Step 24700, mean energy: nan
[PHB] Step 24750, mean energy: nan
[PHB] Step 24800, mean energy: nan
[PHB] Step 24850, mean energy: nan
[PHB] Step 24900, mean energy: nan
[PHB] Step 24950, mean energy: nan
[PHB] Step 25000, mean energy: nan
[PHB] Step 25050, mean energy: nan
[PHB] Step 25100, mean energy: nan
[PHB] Step 25150, mean energy: nan
[PHB] Step 25200, mean energy: nan
[PHB] Step 25250, mean energy: nan
[PHB] Step 25300, mean energy: nan
[PHB] Step 25350, mean energy: nan
[PHB] Step 25400, mean energy: nan
[PHB] Step 25450, mean energy: nan
[PHB] Step 25500, mean energy: nan
[PHB] Step 25550, mean energy: nan
[PHB] Step 25600, mean energy: nan
[PHB] Step 25650, mean energy: nan
[PHB] Step 25700, mean energy: nan
[PHB] Step 25750, mean energy: nan
[PHB] Step 25800, mean energy: nan
[PHB] Step 25850, mean energy: nan
[PHB] Step 25900, mean energy: nan
[PHB] Step 25950, mean energy: nan
[PHB] Step 26000, mean energy: nan
